strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YCL007C::chr3_1	136	35	0	0	0	0
YCL008C::chr3_1	417	368	346	397	198	175
YCL009C::chr3_1	657	431	397	245	253	184
YCL010C::chr3_1	656	481	1200	1071	301	238
YCL011C::chr3_1	1	310	304	149	1	119
YCL012C::chr00_22	452	247	3	0	665	521
YCL012W::chr3_1	692	541	327	273	341	309
YCL013W::chr3_1	646	330	358	208	248	153
YCL014W::chr00_22	431	320	1	0	537	401
YCL014W::chr3_1	1	0	389	177	244	175
YCL016C::chr3_1	280	1	670	262	5	0
YCL017C::chr3_1	1	0	0	0	0	0
YCL021W-A::chr00_21	1	0	3	1	646	553
YCL022C::chr00_12	223	113	161	71	283	225
YCL023C::chr3_1/chr00_12	632	1	536	319	1220	504
YCL024W::chr3_1	602	409	169	123	646	435
YCL025C::chr3_1	529	222	201	49	350	169
YCL026C-A::chr00_16a	380	273	267	282	479	363
YCL026C-B::chr00_21	5	0	2	3	1259	1007
YCL026C::chr3_1	11	251	132	163	7	263
YCL027W::chr3_1	671	405	180	133	344	192
YCL028W::chr3_1	543	476	181	96	120	186
YCL029C::chr3_1	494	337	846	346	167	146
YCL030C::chr3_1	2	0	188	3	615	1
YCL031C::chr00_23	0	0	0	0	0	0
YCL031C::chr3_1	1	0	0	0	0	7
YCL032W::chr3_1	4	0	190	0	244	0
YCL033C::chr3_1	579	0	243	95	282	0
YCL034W::chr3_1	557	62	230	24	295	36
YCL035C::chr00_11	555	342	344	290	481	364
YCL036W::chr3_1	549	2	313	110	299	2
YCL037C::chr3_1	5	0	1198	879	3	0
YCL038C::chr00_12	307	203	223	199	346	310
YCL039W::chr3_1	679	401	109	131	347	240
YCL040W::chr3_1	794	0	196	1	436	0
YCL041C::chr00_11	1	0	0	0	0	3
YCL041C::chr3_1	0	0	0	0	0	0
YCL042W::chr3_1	670	43	151	36	293	25
YCL043C::chr3_1	1	2	3	0	0	3
YCL044C::chr3_1	326	0	200	129	316	0
YCL045C::chr3_1	327	184	198	131	276	202
YCL046W::chr3_1	376	289	118	172	267	196
YCL047C::chr3_1	362	288	293	177	403	209
YCL048W::chr3_1	433	259	218	213	240	152
YCL049C::chr3_1	379	364	249	256	270	261
YCL050C::chr3_1	390	347	318	312	335	344
YCL051W::chr3_1	0	315	250	240	1	207
YCL052C::chr3_1	3	0	0	0	3	1
YCL053C::chr3_1	8	2	0	2	4	2
YCL054W::chr3_1	1	0	0	0	3	1
YCL055W::chr3_1	483	343	199	82	688	455
YCL056C::chr3_1	497	1	183	176	641	1
YCL057C-A::chr00_20	277	187	0	4	436	381
YCL057W::chr3_1	516	347	196	111	390	258
YCL058C::chr00_12	331	267	647	780	236	247
YCL059C::chr3_1	8	0	5	0	5	0
YCL060C::chr3_1	448	0	765	466	248	0
YCL061C::chr00_22	405	283	2	0	438	281
YCL061C::chr3_1	1	0	199	87	263	224
YCL062W::chr3_1	537	428	203	197	489	395
YCL063W::chr3_1	339	182	265	143	456	207
YCL064C::chr3_1	1	0	97	115	0	0
YCL069W::chr3_1	387	282	224	240	425	377
YCL074W::chr00_12	354	234	271	230	530	396
YCL075W::chr00_12	329	313	286	349	648	685
YCL076W::chr00_12	411	324	284	200	739	547
YCR001W::chr3_1	521	221	293	168	453	177
YCR002C::chr3_1	7	0	2273	1966	283	258
YCR003W::chr3_1	7	2	596	484	222	173
YCR004C::chr3_1	595	339	217	51	1	0
YCR005C::chr3_1	368	304	242	173	658	534
YCR006C::chr3_1	222	90	166	111	224	95
YCR007C::chr3_1	380	156	136	71	242	128
YCR008W::chr3_1	492	314	170	72	443	301
YCR009C::chr3_1	123	104	128	142	515	452
YCR010C::chr3_1	352	352	1113	897	366	302
YCR011C::chr3_1	424	370	189	186	626	610
YCR012W::chr00_11	0	0	6	2	2	0
YCR012W::chr3_1	3	0	0	0	0	0
YCR013C::chr00_11	1	0	0	4	1	2
YCR013C::chr3_1	0	0	0	0	0	0
YCR014C::chr3_1	442	0	247	0	668	0
YCR015C::chr3_1	558	292	296	225	394	307
YCR016W::chr3_1	526	334	389	379	396	338
YCR017C::chr3_1	420	225	193	132	472	329
YCR019W::chr3_1	529	228	216	167	950	641
YCR020C-A::chr3_1	257	134	103	154	531	217
YCR020C::chr3_1	556	394	282	229	1464	1095
YCR020W-B::chr00_1	3	1	1790	1309	352	236
YCR021C::chr3_1	416	304	177	204	409	457
YCR022C::chr3_1	427	220	213	126	428	216
YCR023C::chr3_1	540	313	198	238	472	508
YCR024C-A::chr00_1	24	269	163	234	30	351
YCR024C-B::chr00_20	0	0	0	0	0	0
YCR024C::chr00_1	0	1	536	1005	57	377
YCR025C::chr00_1	372	203	281	256	3	3
YCR026C::chr00_1	519	0	239	0	276	0
YCR027C::chr00_1	0	397	14	222	0	264
YCR028C-A::chr00_16a	4	0	887	713	234	210
YCR028C::chr00_1	513	307	920	730	89	18
YCR030C::chr00_16a	323	128	363	290	524	235
YCR031C::chr00_1	353	278	1343	1227	149	150
YCR032W::chr00_16a	294	244	153	153	428	417
YCR033W::chr00_16a	253	253	265	244	338	287
YCR034W::chr00_1	106	103	278	252	292	208
YCR035C::chr00_1	0	2	0	0	0	2
YCR036W::chr00_1	334	196	253	233	407	357
YCR037C::chr00_1	359	272	347	248	779	517
YCR043C::chr00_1	3	225	285	463	5	308
YCR044C::chr00_1	321	359	955	806	821	653
YCR045C::chr00_1	350	285	279	314	436	306
YCR046C::chr00_16a	0	0	471	659	4	243
YCR047C::chr00_16a	275	63	784	407	183	57
YCR048W::chr00_16a	728	0	392	104	1067	0
YCR049C::chr00_1	325	286	487	355	523	538
YCR050C::chr00_1	123	226	82	273	165	351
YCR051W::chr00_1	427	251	1140	1081	796	584
YCR052W::chr00_1	63	38	47	53	54	35
YCR053W::chr00_16a	2	0	377	251	632	345
YCR054C::chr00_16a	1	0	3	6	0	2
YCR057C::chr00_16a	0	0	0	2	0	0
YCR059C::chr00_1	324	250	352	346	323	242
YCR060W::chr00_16a	499	303	938	884	488	344
YCR061W::chr00_1	0	2	12	134	38	359
YCR061W::chr00_22	557	434	2	0	302	244
YCR061W::chr00_23	521	291	0	2	412	311
YCR062W::chr00_16a	415	80	393	190	396	66
YCR063W::chr00_1	472	308	905	775	479	365
YCR064C::chr00_16a	0	0	0	0	0	0
YCR065W::chr00_1	395	474	979	1102	203	224
YCR066W::chr00_1	525	519	1175	1272	257	297
YCR067C::chr00_16a	388	274	1054	819	419	231
YCR068W::chr00_1	717	553	383	333	549	454
YCR069W::chr00_16a	325	238	312	318	469	357
YCR071C::chr00_1	1	1	105	104	536	306
YCR072C::chr00_16a	1	3	2	3	7	0
YCR073C::chr00_16a	340	279	220	265	357	317
YCR073W-A::chr00_1	273	103	227	71	195	121
YCR075C::chr00_16a	361	291	425	491	451	441
YCR075W-A::chr00_20	0	204	0	4	0	213
YCR076C::chr00_1	355	308	260	341	361	258
YCR077C::chr00_1	2	0	1319	632	2	1
YCR079W::chr00_1	324	200	358	287	373	326
YCR081W::chr00_1	271	228	1072	1030	305	289
YCR082W::chr00_1	17	256	173	227	38	445
YCR083W::chr00_16a	0	0	132	136	0	0
YCR084C::chr00_16a	655	486	1	0	0	0
YCR085W::chr00_1	397	304	295	246	744	606
YCR086W::chr00_1	6	255	474	906	1	281
YCR087C-A::chr00_1	0	0	189	231	331	299
YCR087W::chr00_1	477	380	256	204	229	175
YCR088W::chr00_16a	440	323	192	152	391	357
YCR089W::chr00_16a	448	0	206	78	469	0
YCR090C::chr00_2	355	277	317	471	560	501
YCR091W::chr00_2	0	499	111	419	0	497
YCR092C::chr00_2	776	715	422	440	335	345
YCR093W::chr00_2	3	8	2	14	6	5
YCR094W::chr00_2	562	505	84	302	383	378
YCR095C::chr00_14	0	188	143	294	0	386
YCR095W-A::chr00_23	699	339	2	1	378	242
YCR098C::chr00_2	489	350	175	164	390	340
YCR099C::chr00_2	0	494	171	388	0	320
YCR100C::chr00_2	7	392	252	390	6	318
YCR101C::chr00_2	0	282	76	415	2	324
YCR102C::chr00_2	0	445	103	443	0	264
YCR102W-A::chr00_14	1	462	114	248	0	501
YCR105W::chr00_2	388	316	459	359	423	362
YCR106W::chr00_2	673	382	579	368	783	526
YCR107W::chr00_17a	118	179	92	132	267	406
YDL001W::chr4_1	0	308	0	172	0	248
YDL002C::chr4_1	398	251	200	82	374	283
YDL003W::chr4_1	0	1	0	1	0	0
YDL004W::chr4_1	1	0	3	0	9	6
YDL005C::chr4_1	0	0	0	0	0	0
YDL006W::chr4_1	1	3	767	808	516	418
YDL007W::chr4_1	2	0	0	6	0	0
YDL008W::chr4_1	4	3	0	2	3	0
YDL009C::chr4_1	304	302	179	141	249	227
YDL010W::chr4_1	250	298	111	104	206	243
YDL011C::chr4_1	4	291	131	271	1	338
YDL012C::chr4_1	406	278	238	231	434	427
YDL013W::chr4_1	121	92	501	417	334	281
YDL014W::chr4_1	0	0	0	1	0	0
YDL015C::chr4_1	0	0	0	0	3	0
YDL016C::chr4_1	4	1	1	1	1	0
YDL017W::chr4_1	0	3	6	2	0	5
YDL018C::chr4_1	493	313	271	259	606	475
YDL019C::chr4_1	621	303	276	91	533	267
YDL020C::chr4_1	543	399	1088	944	203	197
YDL021W::chr4_1	1	0	336	218	558	478
YDL022W::chr4_1	440	320	279	166	571	417
YDL023C::chr4_1	341	253	2266	2158	569	302
YDL024C::chr4_1	439	334	216	183	370	396
YDL025C::chr4_1	439	363	154	209	386	422
YDL026W::chr00_23	509	274	4	0	404	286
YDL026W::chr4_1	0	1	209	242	443	395
YDL027C::chr4_1	442	305	238	221	654	409
YDL028C::chr4_1	2	2	7	2	3	0
YDL029W::chr4_1	2	1	3	2	3	0
YDL030W::chr4_1	0	4	4	1	6	3
YDL031W::chr00_17a	0	0	0	0	0	1
YDL032W::chr4_1	322	259	530	256	400	278
YDL033C::chr4_1	5	2	994	896	0	3
YDL034W::chr4_1	380	0	237	103	419	0
YDL035C::chr4_1	392	0	533	0	534	0
YDL036C::chr00_23	628	331	2	5	493	351
YDL036C::chr4_1	3	0	244	248	448	482
YDL037C::chr4_1	772	489	308	254	920	482
YDL038C::chr4_1	2	0	0	113	460	276
YDL039C::chr4_1	426	237	347	316	548	365
YDL040C::chr4_1	3	0	474	467	0	2
YDL041W::chr4_1	4	2	427	506	326	364
YDL042C::chr4_1	1	1	0	0	469	353
YDL043C::chr4_1	7	4	4	2	15	3
YDL044C::chr4_1	0	0	0	653	0	479
YDL045C::chr4_1	2	2	0	2	0	4
YDL045W-A::chr4_1	2	0	1280	0	2	0
YDL046W::chr4_1	448	0	235	99	417	0
YDL047W::chr4_1	121	61	982	738	540	379
YDL048C::chr4_1	796	575	1686	1737	904	768
YDL049C::chr4_1	0	316	134	201	0	467
YDL050C::chr4_1	764	6	200	116	470	2
YDL051W::chr4_1	194	356	101	296	239	305
YDL052C::chr4_1	215	185	247	212	341	299
YDL053C::chr4_1	0	0	124	89	330	0
YDL054C::chr4_1	375	38	128	18	449	32
YDL055C::chr4_1	0	1	1	10	2	0
YDL056W::chr4_1	329	216	716	710	294	281
YDL057W::chr4_1	384	284	226	224	531	432
YDL058W::chr00_17a	1	0	0	3	3	2
YDL059C::chr4_1	580	390	205	176	276	254
YDL060W::chr4_1	8	0	0	1	6	0
YDL061C::chr4_1	411	0	1320	546	324	0
YDL062W::chr4_1	3	0	540	490	1	0
YDL063C::chr4_1	720	323	1799	990	897	399
YDL064W::chr4_1	2	2	3	3	7	5
YDL065C::chr4_1	220	0	197	67	198	0
YDL066W::chr4_1	120	279	170	109	145	275
YDL067C::chr4_1	1	0	144	82	659	351
YDL068W::chr4_1	5	1	849	363	466	3
YDL069C::chr00_23	1	0	0	0	372	208
YDL069C::chr4_1	3	1	1015	617	532	356
YDL070W::chr4_1	428	318	351	352	384	308
YDL071C::chr4_1	318	239	353	194	518	362
YDL072C::chr4_1	7	3	576	414	3	3
YDL073W::chr4_1	1	0	525	157	299	105
YDL074C::chr4_1	250	154	999	625	848	331
YDL075W::chr4_1	3	153	604	703	0	53
YDL076C::chr4_1	293	221	376	349	362	263
YDL077C::chr00_23	20	131	0	1	17	277
YDL077C::chr4_1	0	0	79	71	0	0
YDL078C::chr4_1	285	267	1922	1989	782	721
YDL079C::chr4_1	277	218	430	408	476	343
YDL080C::chr4_1	346	98	315	180	486	143
YDL081C::chr4_1	361	118	2034	403	656	181
YDL082W::chr4_1	5	1	1025	859	785	480
YDL083C::chr4_1	0	0	392	261	0	1
YDL084W::chr4_1	0	0	6	1	0	5
YDL085C-A::chr00_20	418	164	1	6	339	125
YDL085W::chr4_1	653	136	252	129	378	91
YDL086W::chr4_1	703	338	220	208	481	369
YDL087C::chr4_1	1	0	1	0	1	0
YDL088C::chr4_1	403	300	163	141	252	273
YDL089W::chr4_1	0	269	98	179	0	217
YDL090C::chr4_1	0	1	582	52	157	18
YDL091C::chr4_1	385	3	284	132	248	1
YDL092W::chr4_1	0	1	0	1	0	2
YDL093W::chr4_1	336	287	218	192	257	112
YDL094C::chr4_1	377	154	326	222	254	131
YDL095W::chr4_1	200	122	162	234	297	156
YDL096C::chr4_2	362	310	177	207	730	457
YDL097C::chr4_2	0	0	1	0	0	0
YDL098C::chr4_2	0	0	0	0	0	0
YDL099W::chr4_2	490	150	197	41	1026	400
YDL100C::chr4_2	318	5	215	99	660	8
YDL101C::chr4_2	462	291	361	524	40	14
YDL102W::chr4_2	0	0	0	2	1	0
YDL103C::chr4_2	0	0	0	0	0	0
YDL104C::chr4_2	356	227	174	177	401	261
YDL105W::chr4_2	4	1	0	0	0	4
YDL106C::chr4_2	328	253	862	392	476	371
YDL107W::chr4_2	293	109	1087	242	522	183
YDL108W::chr4_2	0	0	1	0	0	0
YDL109C::chr4_2	611	367	352	268	300	193
YDL110C::chr4_2	752	487	247	189	410	314
YDL111C::chr4_2	0	0	0	0	0	1
YDL112W::chr4_2	430	277	186	224	442	308
YDL113C::chr4_2	1	0	197	125	395	435
YDL114W::chr4_2	1034	568	229	205	506	378
YDL115C::chr4_2	357	178	486	655	206	165
YDL116W::chr4_2	124	127	501	466	306	318
YDL117W::chr4_2	287	3	870	474	416	0
YDL118W::chr4_2	13	6	1555	1507	525	424
YDL119C::chr4_2	454	377	1557	1001	312	387
YDL120W::chr4_2	0	0	1	0	4	0
YDL121C::chr4_2	589	352	287	254	375	295
YDL122W::chr4_2	416	339	294	109	405	422
YDL123W::chr4_2	0	296	126	144	0	318
YDL124W::chr4_2	54	388	111	87	27	223
YDL125C::chr4_2	234	0	176	0	245	0
YDL126C::chr4_2	0	0	0	0	0	0
YDL127W::chr4_2	410	59	157	59	386	35
YDL128W::chr4_2	490	0	259	0	690	2
YDL129W::chr4_2	637	2	261	174	803	0
YDL130W-A::chr00_2	259	274	571	552	273	490
YDL130W::chr4_2	362	151	1343	1066	228	118
YDL131W::chr4_2	206	177	191	97	496	504
YDL132W::chr4_2	0	0	9	0	1	0
YDL133C-A::chr00_14	768	454	210	313	780	529
YDL133W::chr4_2	370	3	325	153	672	2
YDL134C-A::chr4_2	338	207	257	220	361	275
YDL134C::chr4_2	262	194	218	207	532	350
YDL135C::chr4_2	0	2	116	159	1	1
YDL136W::chr4_2	345	252	1482	1388	282	223
YDL137W::chr4_2	301	32	136	98	479	42
YDL138W::chr4_2	344	16	166	77	444	21
YDL139C::chr4_2	2	0	2	0	3	1
YDL140C::chr4_2	2	0	1	0	1	0
YDL141W::chr4_2	0	0	0	0	0	2
YDL142C::chr4_2	244	300	175	184	208	215
YDL143W::chr4_2	1	4	2	10	0	2
YDL144C::chr4_2	537	237	196	101	385	176
YDL145C::chr4_2	3	0	2	2	0	0
YDL146W::chr4_2	274	1	242	59	472	1
YDL147W::chr4_2	0	0	0	0	0	0
YDL148C::chr4_2	0	2	0	4	0	0
YDL149W::chr4_2	395	260	276	83	677	441
YDL150W::chr4_2	0	0	2	0	0	0
YDL151C::chr4_2	280	1	2	0	134	1
YDL152W::chr4_2	5	0	3	0	0	0
YDL153C::chr4_2	0	0	0	0	0	0
YDL154W::chr4_2	362	303	1521	1378	438	430
YDL155W::chr4_2	354	209	212	188	588	513
YDL156W::chr4_2	359	237	256	238	428	304
YDL157C::chr4_2	411	0	335	136	322	0
YDL158C::chr4_2	11	20	22	25	23	10
YDL159W-A::chr00_20	348	302	1	0	357	336
YDL159W::chr4_2	2	0	1	1	586	500
YDL160C-A::chr00_20	2	0	1	0	410	171
YDL160C::chr4_2	64	17	1254	1125	278	150
YDL161W::chr4_2	361	188	189	136	528	314
YDL162C::chr4_2	243	245	677	698	360	375
YDL163W::chr4_2	0	3	2	0	0	1
YDL164C::chr4_2	0	0	0	0	0	0
YDL165W::chr4_2	0	9	1	2	0	3
YDL166C::chr4_2	0	0	2	0	0	0
YDL167C::chr4_2	736	473	215	154	236	177
YDL168W::chr4_2	4	258	85	210	35	463
YDL169C::chr4_2	347	292	110	203	378	417
YDL170W::chr4_2	408	271	247	220	350	248
YDL171C::chr4_2	266	342	147	200	314	379
YDL172C::chr4_2	10	171	83	132	20	466
YDL173W::chr4_2	347	261	69	91	356	303
YDL174C::chr4_2	333	299	359	285	726	615
YDL175C::chr4_2	304	0	78	0	272	0
YDL176W::chr4_2	174	252	251	242	192	228
YDL177C::chr4_2	402	327	235	237	413	295
YDL178W::chr4_2	397	302	226	159	496	412
YDL179W::chr4_2	336	252	176	210	627	563
YDL180W::chr4_2	389	170	249	149	438	255
YDL181W::chr4_2	2	7	1	3	469	385
YDL182W::chr4_2	332	208	202	209	244	206
YDL183C::chr4_2	117	223	144	153	143	286
YDL184C::chr4_2	462	310	135	174	618	403
YDL185W::chr4_2	217	167	576	488	145	99
YDL186W::chr4_2	373	230	244	301	420	431
YDL187C::chr4_2	422	309	197	289	394	322
YDL188C::chr4_2	270	215	227	203	325	212
YDL189W::chr4_2	287	293	235	554	348	409
YDL190C::chr4_2	490	7	329	225	597	14
YDL191W::chr4_3	444	319	1249	1151	395	282
YDL192W::chr4_3	297	226	1270	1314	464	378
YDL193W::chr4_3	0	0	0	0	0	0
YDL194W::chr00_16b	1	239	432	1286	4	284
YDL195W::chr4_3	5	0	2	2	0	2
YDL196W::chr4_3	1	0	0	1	0	0
YDL197C::chr4_3	529	8	285	136	696	17
YDL198C::chr4_3	2	0	671	489	324	321
YDL199C::chr4_3	389	303	349	279	365	274
YDL200C::chr4_3	6	245	128	160	7	182
YDL201W::chr4_3	530	402	322	288	572	405
YDL202W::chr4_3	5	1	665	520	399	333
YDL203C::chr4_3	441	335	161	282	294	247
YDL204W::chr4_3	420	376	233	224	337	294
YDL205C::chr4_3	6	4	2	2	1	3
YDL206W::chr4_3	511	322	4	4	441	345
YDL207W::chr4_3	0	3	1	1	2	10
YDL208W::chr4_3	0	2	0	0	4	1
YDL209C::chr4_3	0	0	3	1	1	0
YDL210W::chr4_3	369	225	1150	1180	444	292
YDL211C::chr4_3	0	175	142	85	0	300
YDL212W::chr4_3	0	1	1	2	0	0
YDL213C::chr4_3	410	0	251	106	254	0
YDL214C::chr4_3	4	1	121	0	0	0
YDL215C::chr4_3	243	286	192	236	270	304
YDL216C::chr4_3	848	552	313	70	938	625
YDL217C::chr4_3	5	1	0	2	8	1
YDL218W::chr4_3	374	245	199	175	402	204
YDL219W::chr4_3	279	224	180	150	386	192
YDL220C::chr4_3	0	0	4	0	0	0
YDL221W::chr4_3	2	0	1	5	0	0
YDL222C::chr4_3	367	244	230	145	263	215
YDL223C::chr4_3	48	113	107	113	18	90
YDL224C::chr4_3	504	401	222	225	431	332
YDL225W::chr4_3	4	0	231	110	655	21
YDL226C::chr4_3	259	256	169	181	372	277
YDL227C::chr4_3	247606	246630	545	634	284	389
YDL227C::ctrl_1	0	0	0	0	0	0
YDL227C::ctrl_10	0	0	0	0	0	0
YDL227C::ctrl_11	0	0	0	0	0	0
YDL227C::ctrl_13	0	0	0	0	0	0
YDL227C::ctrl_14	0	0	0	0	0	0
YDL227C::ctrl_15	0	0	0	0	0	0
YDL227C::ctrl_16	0	0	0	0	0	0
YDL227C::ctrl_17	0	0	0	0	0	0
YDL227C::ctrl_18	0	0	0	0	0	0
YDL227C::ctrl_19	0	0	0	0	0	0
YDL227C::ctrl_2	0	0	0	3	0	0
YDL227C::ctrl_20	0	0	0	0	0	0
YDL227C::ctrl_21	0	0	0	0	0	0
YDL227C::ctrl_22	0	0	0	0	0	0
YDL227C::ctrl_23	0	0	0	0	0	0
YDL227C::ctrl_24	0	0	0	0	0	0
YDL227C::ctrl_25	0	0	0	0	0	0
YDL227C::ctrl_26	0	0	0	0	0	0
YDL227C::ctrl_27	0	0	0	0	0	0
YDL227C::ctrl_28	0	0	0	1	0	0
YDL227C::ctrl_29	0	0	0	0	0	0
YDL227C::ctrl_3	0	0	0	0	0	0
YDL227C::ctrl_30	0	0	0	0	0	0
YDL227C::ctrl_31	0	0	0	0	0	0
YDL227C::ctrl_32	0	0	0	0	0	0
YDL227C::ctrl_33	0	0	0	0	0	0
YDL227C::ctrl_34	0	0	0	0	0	0
YDL227C::ctrl_35	0	0	0	0	0	0
YDL227C::ctrl_36	0	0	0	0	0	0
YDL227C::ctrl_37	0	0	0	0	0	0
YDL227C::ctrl_38	0	0	0	0	0	0
YDL227C::ctrl_39	0	0	0	0	0	0
YDL227C::ctrl_4	0	0	0	0	0	0
YDL227C::ctrl_40	0	0	0	0	0	0
YDL227C::ctrl_41	0	0	0	0	0	0
YDL227C::ctrl_42	0	0	0	0	0	0
YDL227C::ctrl_43	0	0	0	0	0	0
YDL227C::ctrl_44	0	0	0	0	0	0
YDL227C::ctrl_45	0	0	0	0	0	0
YDL227C::ctrl_46	0	0	0	0	0	0
YDL227C::ctrl_47	0	0	0	0	0	0
YDL227C::ctrl_48	0	0	0	0	0	0
YDL227C::ctrl_49	0	0	0	0	0	0
YDL227C::ctrl_5	0	0	0	0	0	0
YDL227C::ctrl_50	0	0	0	0	0	0
YDL227C::ctrl_51	0	0	0	0	0	0
YDL227C::ctrl_52	0	0	0	0	0	0
YDL227C::ctrl_53	0	0	0	0	0	0
YDL227C::ctrl_54	0	0	0	0	0	0
YDL227C::ctrl_6	0	0	0	0	0	0
YDL227C::ctrl_7	0	0	0	0	0	0
YDL227C::ctrl_8	0	0	0	0	0	0
YDL227C::ctrl_9	0	0	0	0	0	0
YDL229W::chr4_3	361	218	128	88	367	281
YDL230W::chr4_3	270	206	257	139	234	226
YDL231C::chr4_3	347	280	171	186	232	253
YDL232W::chr4_3	0	0	0	0	0	0
YDL233W::chr4_3	342	216	182	72	341	354
YDL234C::chr4_3	323	0	234	74	242	0
YDL235C::chr4_3	0	4	0	2	2	0
YDL236W::chr4_3	295	195	208	210	309	272
YDL237W::chr4_3	390	1	153	103	301	1
YDL238C::chr4_3	425	302	166	168	325	239
YDL239C::chr4_3	1	308	108	201	2	440
YDL240W::chr4_3	9	218	209	315	0	270
YDL241W::chr4_3	1	255	100	117	2	278
YDL242W::chr4_3	328	263	189	188	286	188
YDL243C::chr4_3	335	209	138	177	248	177
YDR001C::chr4_3	281	233	219	221	312	180
YDR002W::chr4_3	3	5	2	4	1	0
YDR003W-A::chr00_20	345	60	5	2	623	95
YDR003W::chr4_3	1	18	159	101	0	101
YDR004W::chr4_3	299	238	792	638	175	163
YDR005C::chr4_3	252	38	158	121	313	55
YDR006C::chr4_3	0	322	0	248	0	611
YDR007W::chr00_16b	2	0	165	148	437	452
YDR008C::chr4_3	5	0	186	86	492	0
YDR009W::chr4_3	994	290	265	157	477	153
YDR010C::chr4_3	250	241	225	271	715	745
YDR011W::chr4_3	401	189	319	325	781	582
YDR013W::chr4_3	2	1	0	0	8	4
YDR014W::chr4_3	210	271	249	237	366	373
YDR015C::chr4_3	270	216	164	98	446	407
YDR016C::chr4_3	1	1	3	3	0	4
YDR017C::chr4_3	52	0	1015	0	487	0
YDR018C::chr4_3	1	306	79	211	0	449
YDR019C::chr4_3	348	224	236	215	485	494
YDR020C::chr4_3	387	81	828	620	494	137
YDR021W::chr4_3	0	2	1	3	2	0
YDR022C::chr4_3	493	293	289	211	736	429
YDR023W::chr4_3	5	7	1	4	14	4
YDR024W::chr4_3	333	292	996	1065	469	470
YDR025W::chr4_3	387	158	494	467	116	76
YDR026C::chr4_3	362	247	222	231	633	554
YDR027C::chr4_3	0	30	0	97	0	141
YDR028C::chr4_3	344	320	1051	1313	557	570
YDR029W::chr4_3	347	0	649	95	745	0
YDR030C::chr4_3	294	254	171	178	871	718
YDR031W::chr4_3	2	232	65	163	1	427
YDR032C::chr4_3	0	0	96	110	1	0
YDR033W::chr4_3	0	191	123	166	0	513
YDR034C-A::chr00_20	0	0	0	0	0	0
YDR034C::chr4_3	218	0	241	82	655	0
YDR034W-B::chr00_20	433	0	2	0	744	0
YDR035W::chr4_3	289	250	256	239	608	549
YDR036C::chr4_3	368	247	212	160	846	613
YDR037W::chr4_3	0	2	0	1	1	3
YDR041W::chr00_16b	2	0	0	2	4	0
YDR042C::chr4_3	332	192	215	197	427	343
YDR043C::chr4_3	250	0	88	74	375	0
YDR044W::chr4_3	103	104	80	127	67	106
YDR045C::chr4_3	0	1	0	2	0	0
YDR046C::chr4_3	378	307	233	187	315	234
YDR047W::chr4_3	0	0	0	0	0	1
YDR048C::chr00_16b	245	149	155	127	248	243
YDR049W::chr4_4	167	183	1393	1220	269	206
YDR050C::chr00_11	0	4	2	0	1	1
YDR050C::chr4_4	0	0	0	0	0	0
YDR051C::chr4_4	1027	616	109	212	1309	876
YDR052C::chr4_4	0	1	1	3	2	1
YDR053W::chr4_4	0	0	5	1	3	0
YDR054C::chr4_4	0	0	1	0	2	0
YDR055W::chr4_4	433	203	86	57	697	311
YDR056C::chr4_4	16	334	110	193	21	478
YDR057W::chr4_4	0	248	95	125	0	257
YDR058C::chr00_14	173	511	206	265	128	589
YDR059C::chr4_4	392	303	280	127	620	422
YDR060W::chr4_4	0	0	1	0	3	3
YDR061W::chr4_4	377	276	263	165	621	522
YDR062W::chr4_4	5	2	9	9	1	3
YDR063W::chr4_4	437	312	177	133	675	456
YDR064W::chr4_4	7	4	3	14	13	2
YDR065W::chr4_4	2	0	569	592	304	261
YDR066C::chr4_4	536	418	167	124	698	556
YDR067C::chr4_4	471	354	433	374	476	315
YDR068W::chr4_4	398	316	274	214	668	536
YDR069C::chr4_4	1	0	629	249	328	1
YDR070C::chr4_4	333	174	201	154	455	278
YDR071C::chr00_11	635	455	312	316	697	479
YDR072C::chr4_4	582	399	313	101	529	471
YDR073W::chr4_4	491	312	257	241	573	504
YDR074W::chr00_11	358	222	1140	909	560	881
YDR075W::chr4_4	333	0	246	124	564	1
YDR076W::chr4_4	305	275	457	800	472	381
YDR077W::chr4_4	417	3	244	93	681	0
YDR078C::chr4_4	981	453	291	120	449	243
YDR079C-A::chr00_20	23	15	0	0	483	334
YDR079W::chr4_4	0	0	3	0	420	296
YDR080W::chr4_4	20	2	1247	592	665	13
YDR081C::chr4_4	0	0	0	1	1	3
YDR082W::chr4_4	2	0	1	1	0	0
YDR083W::chr4_4	390	210	1734	1127	142	86
YDR084C::chr4_4	476	2	336	153	255	1
YDR085C::chr4_4	334	268	439	486	161	280
YDR086C::chr4_4	5	0	5	0	0	0
YDR087C::chr4_4	1	0	9	2	3	0
YDR088C::chr4_4	1	0	1	2	0	1
YDR089W::chr4_4	252	312	195	267	146	239
YDR090C::chr00_23	1	0	0	0	426	301
YDR090C::chr4_4	3	1	332	209	135	97
YDR091C::chr4_4	1	0	0	1	0	0
YDR092W::chr00_23	968	646	4	1	557	481
YDR092W::chr4_4	1	0	767	18	138	6
YDR093W::chr4_4	411	319	275	272	173	162
YDR094W::chr4_4	424	90	319	221	251	47
YDR095C::chr4_4	390	284	311	367	390	281
